Match_ID,Round,Status,URL
bulls-chiefs-loftus-versfeld-23032019,6,Full,https://www.rugbypass.com/live/super-rugby/bulls-vs-chiefs-at-loftus-versfeld-on-23032019/2019/stats/
sharks-rebels-jonsson-kings-park-23032019,6,Full,https://www.rugbypass.com/live/super-rugby/sharks-vs-rebels-at-jonsson-kings-park-on-23032019/2019/stats/
reds-brumbies-suncorp-stadium-24032019,6,Full,https://www.rugbypass.com/live/super-rugby/reds-vs-brumbies-at-suncorp-stadium-on-24032019/2019/stats/
hurricanes-crusaders-westpac-stadium-29032019,7,Full,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-crusaders-at-westpac-stadium-on-29032019/2019/stats/
nsw-waratahs-sunwolves-mcdonald-jones-stadium-29032019,7,Full,https://www.rugbypass.com/live/super-rugby/nsw-waratahs-vs-sunwolves-at-mcdonald-jones-stadium-on-29032019/2019/stats/
blues-stormers-eden-park-30032019,7,Full,https://www.rugbypass.com/live/super-rugby/blues-vs-stormers-at-eden-park-on-30032019/2019/stats/
reds-rebels-suncorp-stadium-30032019,7,Full,https://www.rugbypass.com/live/super-rugby/reds-vs-rebels-at-suncorp-stadium-on-30032019/2019/stats/
sharks-bulls-jonsson-kings-park-30032019,7,Full,https://www.rugbypass.com/live/super-rugby/sharks-vs-bulls-at-jonsson-kings-park-on-30032019/2019/stats/
jaguares-chiefs-estadio-jose-amalfitani-30032019,7,Full,https://www.rugbypass.com/live/super-rugby/jaguares-vs-chiefs-at-estadio-jose-amalfitani-on-30032019/2019/stats/
highlanders-hurricanes-forsyth-barr-stadium-05042019,8,Full,https://www.rugbypass.com/live/super-rugby/highlanders-vs-hurricanes-at-forsyth-barr-stadium-on-05042019/2019/stats/
reds-stormers-suncorp-stadium-05042019,8,Full,https://www.rugbypass.com/live/super-rugby/reds-vs-stormers-at-suncorp-stadium-on-05042019/2019/stats/
lions-sharks-emirates-airlines-park-05042019,8,Full,https://www.rugbypass.com/live/super-rugby/lions-vs-sharks-at-emirates-airlines-park-on-05042019/2019/stats/
crusaders-brumbies-christchurch-stadium-06042019,8,Full,https://www.rugbypass.com/live/super-rugby/crusaders-vs-brumbies-at-christchurch-stadium-on-06042019/2019/stats/
blues-nsw-waratahs-eden-park-06042019,8,Full,https://www.rugbypass.com/live/super-rugby/blues-vs-nsw-waratahs-at-eden-park-on-06042019/2019/stats/
rebels-sunwolves-aami-park-06042019,8,Full,https://www.rugbypass.com/live/super-rugby/rebels-vs-sunwolves-at-aami-park-on-06042019/2019/stats/
bulls-jaguares-loftus-versfeld-06042019,8,Full,https://www.rugbypass.com/live/super-rugby/bulls-vs-jaguares-at-loftus-versfeld-on-06042019/2019/stats/
crusaders-highlanders-christchurch-stadium-12042019,9,Full,https://www.rugbypass.com/live/super-rugby/crusaders-vs-highlanders-at-christchurch-stadium-on-12042019/2019/stats/
rebels-stormers-aami-park-12042019,9,Full,https://www.rugbypass.com/live/super-rugby/rebels-vs-stormers-at-aami-park-on-12042019/2019/stats/
chiefs-blues-fmg-stadium-waikato-13042019,9,Full,https://www.rugbypass.com/live/super-rugby/chiefs-vs-blues-at-fmg-stadium-waikato-on-13042019/2019/stats/
brumbies-lions-gio-stadium-13042019,9,Full,https://www.rugbypass.com/live/super-rugby/brumbies-vs-lions-at-gio-stadium-on-13042019/2019/stats/
sharks-jaguares-jonsson-kings-park-13042019,9,Full,https://www.rugbypass.com/live/super-rugby/sharks-vs-jaguares-at-jonsson-kings-park-on-13042019/2019/stats/
bulls-reds-loftus-versfeld-13042019,9,Full,https://www.rugbypass.com/live/super-rugby/bulls-vs-reds-at-loftus-versfeld-on-13042019/2019/stats/
chiefs-lions-fmg-stadium-waikato-19042019,10,Full,https://www.rugbypass.com/live/super-rugby/chiefs-vs-lions-at-fmg-stadium-waikato-on-19042019/2019/stats/
sunwolves-hurricanes-prince-chichibu-memorial-stadium-19042019,10,Full,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-hurricanes-at-prince-chichibu-memorial-stadium-on-19042019/2019/stats/
sharks-reds-jonsson-kings-park-19042019,10,Full,https://www.rugbypass.com/live/super-rugby/sharks-vs-reds-at-jonsson-kings-park-on-19042019/2019/stats/
highlanders-blues-forsyth-barr-stadium-20042019,10,Full,https://www.rugbypass.com/live/super-rugby/highlanders-vs-blues-at-forsyth-barr-stadium-on-20042019/2019/stats/
nsw-waratahs-rebels-sydney-cricket-ground-20042019,10,Full,https://www.rugbypass.com/live/super-rugby/nsw-waratahs-vs-rebels-at-sydney-cricket-ground-on-20042019/2019/stats/
stormers-brumbies-dhl-newlands-20042019,10,Full,https://www.rugbypass.com/live/super-rugby/stormers-vs-brumbies-at-dhl-newlands-on-20042019/2019/stats/
crusaders-lions-christchurch-stadium-26042019,11,Full,https://www.rugbypass.com/live/super-rugby/crusaders-vs-lions-at-christchurch-stadium-on-26042019/2019/stats/
sunwolves-highlanders-prince-chichibu-memorial-stadium-26042019,11,Full,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-highlanders-at-prince-chichibu-memorial-stadium-on-26042019/2019/stats/
hurricanes-chiefs-westpac-stadium-27042019,11,Full,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-chiefs-at-westpac-stadium-on-27042019/2019/stats/
nsw-waratahs-sharks-bankwest-stadium-27042019,11,Full,https://www.rugbypass.com/live/super-rugby/nsw-waratahs-vs-sharks-at-bankwest-stadium-on-27042019/2019/stats/
stormers-bulls-dhl-newlands-27042019,11,Full,https://www.rugbypass.com/live/super-rugby/stormers-vs-bulls-at-dhl-newlands-on-27042019/2019/stats/
jaguares-brumbies-estadio-jose-amalfitani-27042019,11,Full,https://www.rugbypass.com/live/super-rugby/jaguares-vs-brumbies-at-estadio-jose-amalfitani-on-27042019/2019/stats/
crusaders-sharks-ami-stadium-03052019,12,Min,https://www.rugbypass.com/live/super-rugby/crusaders-vs-sharks-at-ami-stadium-on-03052019/2019/stats/
reds-sunwolves-suncorp-stadium-03052019,12,Min,https://www.rugbypass.com/live/super-rugby/reds-vs-sunwolves-at-suncorp-stadium-on-03052019/2019/stats/
hurricanes-rebels-westpac-stadium-04052019,12,Min,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-rebels-at-westpac-stadium-on-04052019/2019/stats/
highlanders-chiefs-forsyth-barr-stadium-04052019,12,Min,https://www.rugbypass.com/live/super-rugby/highlanders-vs-chiefs-at-forsyth-barr-stadium-on-04052019/2019/stats/
brumbies-blues-gio-stadium-04052019,12,Min,https://www.rugbypass.com/live/super-rugby/brumbies-vs-blues-at-gio-stadium-on-04052019/2019/stats/
bulls-waratahs-loftus-versfeld-04052019,12,Min,https://www.rugbypass.com/live/super-rugby/bulls-vs-waratahs-at-loftus-versfeld-on-04052019/2019/stats/
jaguares-stormers-estadio-jose-amalfitani-04052019,12,Min,https://www.rugbypass.com/live/super-rugby/jaguares-vs-stormers-at-estadio-jose-amalfitani-on-04052019/2019/stats/
blues-hurricanes-eden-park-10052019,13,Min,https://www.rugbypass.com/live/super-rugby/blues-vs-hurricanes-at-eden-park-on-10052019/2019/stats/
rebels-reds-aami-park-10052019,13,Min,https://www.rugbypass.com/live/super-rugby/rebels-vs-reds-at-aami-park-on-10052019/2019/stats/
bulls-crusaders-loftus-versfeld-10052019,13,Min,https://www.rugbypass.com/live/super-rugby/bulls-vs-crusaders-at-loftus-versfeld-on-10052019/2019/stats/
highlanders-jaguares-forsyth-barr-stadium-11052019,13,Min,https://www.rugbypass.com/live/super-rugby/highlanders-vs-jaguares-at-forsyth-barr-stadium-on-11052019/2019/stats/
chiefs-sharks-fmg-stadium-11052019,13,Min,https://www.rugbypass.com/live/super-rugby/chiefs-vs-sharks-at-fmg-stadium-on-11052019/2019/stats/
lions-waratahs-emirates-airline-park-11052019,13,Min,https://www.rugbypass.com/live/super-rugby/lions-vs-waratahs-at-emirates-airline-park-on-11052019/2019/stats/
brumbies-sunwolves-gio-stadium-12052019,13,Min,https://www.rugbypass.com/live/super-rugby/brumbies-vs-sunwolves-at-gio-stadium-on-12052019/2019/stats/
hurricanes-jaguares-westpac-stadium-17052019,14,Min,https://www.rugbypass.com/live/super-rugby/hurricanes-vs-jaguares-at-westpac-stadium-on-17052019/2019/stats/
rebels-bulls-aami-park-17052019,14,Min,https://www.rugbypass.com/live/super-rugby/rebels-vs-bulls-at-aami-park-on-17052019/2019/stats/
blues-chiefs-eden-park-18052019,14,Min,https://www.rugbypass.com/live/super-rugby/blues-vs-chiefs-at-eden-park-on-18052019/2019/stats/
reds-waratahs-suncorp-stadium-18052019,14,Min,https://www.rugbypass.com/live/super-rugby/reds-vs-waratahs-at-suncorp-stadium-on-18052019/2019/stats/
lions-highlanders-emirates-airline-park-18052019,14,Min,https://www.rugbypass.com/live/super-rugby/lions-vs-highlanders-at-emirates-airline-park-on-18052019/2019/stats/
stormers-crusaders-newlands-18052019,14,Min,https://www.rugbypass.com/live/super-rugby/stormers-vs-crusaders-at-newlands-on-18052019/2019/stats/
chiefs-reds-fmg-stadium-24052019,15,Min,https://www.rugbypass.com/live/super-rugby/chiefs-vs-reds-at-fmg-stadium-on-24052019/2019/stats/
brumbies-bulls-gio-stadium-24052019,15,Min,https://www.rugbypass.com/live/super-rugby/brumbies-vs-bulls-at-gio-stadium-on-24052019/2019/stats/
sunwolves-rebels-chichibunomiya-rugby-stadium-25052019,15,Min,https://www.rugbypass.com/live/super-rugby/sunwolves-vs-rebels-at-chichibunomiya-rugby-stadium-on-25052019/2019/stats/
crusaders-blues-ami-stadium-25052019,15,Min,https://www.rugbypass.com/live/super-rugby/crusaders-vs-blues-at-ami-stadium-on-25052019/2019/stats/
