Player,Team,Country
Luke Jacobson,CHI,NZ
Toby Smith,HUR,NZ
Heiden Bedwell-Curtis,HUR,NZ
Salesi Rayasi,HUR,NZ
Lausii Taliauli,BRU,AUS
Thomas Ross,BRU,AUS
Jordan Jackson-Hope,BRU,AUS
Mackenzie Hansen,BRU,AUS
Ryan McCauley,WAR,AUS
Nick Phipps,WAR,AUS
Steven Kitshoff,STO,SA
Cobus Wiese,STO,SA
Ben Gunter,SUN,JP
Hosea Saumaki,SUN,JP
Sione Teaupa,SUN,JP
Amanaki Mafi,SUN,JP
Angus Blyth,RED,AUS
Teti Tela,RED,AUS
Filipo Daugunu,RED,AUS
Tyrone Green,LIO,SA
Jan-Henning Campher,LIO,SA
Sione Tuipulotu,REB,AUS
Leni Apisai,BLU,NZ
Ray Niuia,HIG,NZ
James O'Reilly,HUR,NZ
Danny Toala,HUR,NZ
Andrew Tuala,WAR,AUS
Michael Wells,WAR,AUS
Sam Whitelock,CRU,NZ
Isileli Tu'ungafasi,CRU,NZ
Masataka Mikami,SUN,JP
Jiwon Koo,SUN,JP
Grant Hattingh,SUN,JP
Harumichi Tatekawa,SUN,JP
Ryohei Yamanaka,SUN,JP
Fumiaki Tanaka,SUN,JP
Takuya Yamasawa,SUN,JP
Robbie Coetzee,LIO,SA
Luke Stringer,SHA,SA
Marius Louw,SHA,SA
Pone Fa'amausili,REB,AUS
Harrison Goddard,REB,AUS
Campbell Magnay,REB,AUS
Stuart Dunbar,REB,AUS
Jahrome Brown,BRU,AUS
Kane Le'aupepe,HUR,NZ
Kieran Read,CRU,NZ
Oli Jager,CRU,NZ
Thomas Staniforth,WAR,AUS
Lalakai Foketi,WAR,AUS
John Folau,WAR,AUS
Takuma Asahara,SUN,JP
Mark Abbott,SUN,JP
Kara Pryor,SUN,JP
Lwazi Mvovo,SHA,SA
Philip Van Der Walt,SHA,SA
Jacobus Van Wyk,SHA,SA
Conraad Van Vuuren,BUL,SA
Nahuel Tetaz Chaparro,JAG,ARG
Felipe Ezcurra,JAG,ARG
Michael Kumbirai,STO,SA
Cyle Brink,LIO,SA
Wilhelm van der Sluys,LIO,SA
JJ van der Mescht,SHA,SA
Leicester Fainga'anuku,CRU,NZ
