Team,Position,Name
SUN,Flyhalf,Hayden Parker
HUR,Flank,Heiden Bedwell-Curtis
SUN,Flank,Hendrik Tui
BRU,Wing,Henry Speight
STO,Scrumhalf,Hershel Jantjies
SUN,Tighthead Prop,Hiroshi Yamashita
SUN,Wing,Hosea Saumaki
REB,Hooker,Hugh Roach
SHA,Lock,Hyron Andrews
BRU,Centre,Irae Simone
RED,Fullback,Isaac Lucas
HUR,Lock,Isaia Walker-Leawere
REB,Number 8,Isi Naisarani
CRU,Loosehead Prop,Isileli Tuungafasi
WAR,Fullback,Israel Folau
BUL,Scrumhalf,Ivan van Zyl
RED,Lock,Izack Rodda
SUN,Hooker,Jaba Bregvadze
CHI,Flyhalf,Jack Debreczeni
WAR,Flank,Jack Dempsey
CRU,Centre,Jack Goodhue
RED,Wing,Jack Hardy
REB,Fullback,Jack Maddocks
HIG,Lock,Jack Whetton
HUR,Back,Jackson Garden-Bachop
HIG,Flank,Jackson Hemopo
STO,Number 8,Jaco Coetzee
BUL,Hooker,Jaco Visagie
LIO,Tighthead Prop,Jacobie Adriaanse
SHA,Centre,Jacobus Van Wyk
SHA,Flank,Jacques Vermeulen
BUL,Wing,Jade Stighling
BRU,Flank,Jahrome Brown
WAR,Scrumhalf,Jake Gordon
HUR,Lock,James Blackwell
HIG,Flank,James Lentjes
HUR,Back,James Marshall
SUN,Lock,James Moore
HUR,Hooker,James O'Reilly
BLU,Hooker,James Parsons
BRU,Loosehead Prop,James Slipper
LIO,Flank,James Venter
SUN,Scrumhalf,Jamie Booth
SUN,Wing,Jamie Henry
LIO,Hooker,Jan-Henning Campher
BUL,Flank,Jannes Kirsten
STO,Scrumhalf,Jano Vermaak
SUN,Centre,Jason Emery
BUL,Lock,Jason Jenkins
JAG,Number 8,Javier Ortega Desio
STO,Lock,JD Schickerling
STO,Flyhalf,Jean-Luc du Plessis
SHA,Flank,Jean-Luc du Preez
RED,Loosehead Prop,Jean-Pierre Smith
BLU,Flank,Jed Brown
WAR,Lock,Jed Holloway
HUR,Tighthead Prop,Jeff Toomaga-Allen
SHA,Centre,Jeremy Ward
REB,Tighthead Prop,Jermaine Ainsley
JAG,Centre,Jeronimo De La Fuente
BUL,Centre,Jesse Kriel
CHI,Lock,Jesse Parete
SUN,Tighthead Prop,Jiwon Koo
STO,Centre,JJ Engelbrecht
SHA,Lock,JJ van der Mescht
JAG,Flyhalf,Joaquin Diaz Bonilla
JAG,Fullback,Joaquin Tuculet
RED,Back,Jock Campbell
CRU,Loosehead Prop,Joe Moody
BRU,Scrumhalf,Joe Powell
STO,Lock,Johan du Toit
BUL,Hooker,Johan Grobbelaar
LIO,Tighthead Prop,Johannes Jonker
WAR,Back,John Folau
BUL,Wing,John-Ben Kotze
SHA,Tighthead Prop,John-Hubert Meyer
BLU,Scrumhalf,Jonathan Ruru
CHI,Scrumhalf,Jonathan Taumateine
HIG,Back,Jordan Hyland
BRU,Back,Jordan Jackson-Hope
RED,Centre,Jordan Petaia
CRU,Flank,Jordan Taufua
HUR,Fullback,Jordie Barrett
HIG,Lock,Josh Dickson
HIG,Flyhalf,Josh Ioane
HIG,Tighthead Prop,Josh Iosefa-Scott
BRU,Hooker,Josh Mann-Rea
HIG,Wing,Josh McKay
SUN,Centre,Josh Timu
BLU,Lock,Joshua Goodhue
STO,Flyhalf,Joshua Stander
BUL,Back,JT Jackson
JAG,Fullback,Juan Cruz Mallia
JAG,Flank,Juan Manuel Leguizamon
JAG,Loosehead Prop,Juan Pablo Zeiss
SHA,Loosehead Prop,Juan Schoeman
STO,Number 8,Juarno Augustus
JAG,Hooker,Julian Montoya
STO,Scrumhalf,Justin Phillips
SUN,Scrumhalf,Kaito Shigeno
HUR,Lock,Kane Leaupepe
SUN,Flank,Kara Pryor
BLU,Loosehead Prop,Karl Tu'inukuafe
WAR,Centre,Karmichael Hunt
HIG,Scrumhalf,Kayne Hammington
SUN,Scrumhalf,Keisuke Uchida
SHA,Hooker,Kerron van Vuuren
SHA,Tighthead Prop,Khuthuzani Mchunu
CRU,Number 8,Kieran Read
STO,Number 8,Kobus Van Dyk
WAR,Fullback,Kurtley Beale
LIO,Flank,Kwagga Smith
CHI,Flank,Lachlan Boshier
BRU,Number 8,Lachlan McCaffrey
