Team,Score,Metres carried,Carries,Defenders beaten,Clean breaks,Offloads,Turnovers conceded,Missed tackles,Turnovers won,Conversions missed,Penalty goals,Penalty goals missed,Drop goals,Drop goals missed,Rucks won %,Mauls won,Lineouts won,Lineouts lost,Lineouts won %,Scrums won,Scrums lost,Scrums won %,Penalties conceded,Red cards,Yellow cards,Possession,Tries,Passes,Tackles,Kicks in play,Conversions,Rucks won,Rucks lost,Match_ID
REB,24,420,98,19,11,10,21,16,10,2,0,1,0,0,36%,0,9,1,35%,6,0,35%,10,0,0,0.37,4,105,146,23,2,58,1,rebels-highlanders-aami-park-01032019
HIG,19,320,126,16,2,3,12,19,7,1,0,0,0,0,60%,2,16,1,62%,10,1,59%,8,0,0,0.63,3,131,107,23,2,96,6,rebels-highlanders-aami-park-01032019
CHI,15,409,136,34,10,14,24,22,7,1,1,0,0,0,48%,3,14,2,82%,9,0,47%,4,0,0,0.51,2,168,162,19,1,97,5,chiefs-sunwolves-fmg-stadium-waikato-02032019
SUN,30,605,144,22,12,13,14,34,10,0,3,0,0,0,50%,0,2,1,12%,10,0,53%,14,0,0,0.49,3,177,163,22,3,101,3,chiefs-sunwolves-fmg-stadium-waikato-02032019
RED,12,349,97,16,10,9,18,15,10,1,0,0,0,0,39%,1,9,3,35%,7,2,50%,9,0,1,0.39,2,123,167,18,1,69,2,reds-crusaders-suncorp-stadium-02032019
CRU,22,505,157,15,16,10,20,16,6,3,0,0,0,0,59%,6,16,1,62%,7,0,50%,7,0,0,0.61,4,241,123,17,1,104,3,reds-crusaders-suncorp-stadium-02032019
LIO,12,329,109,14,9,5,21,29,10,1,0,0,0,0,53%,1,12,2,46%,8,0,53%,11,0,0,0.54,2,138,101,11,1,80,6,lions-bulls-emirates-airlines-park-02032019
BUL,30,344,100,29,10,6,18,14,10,1,6,0,0,1,42%,4,14,0,54%,6,1,40%,10,0,0,0.46,2,128,138,17,1,63,7,lions-bulls-emirates-airlines-park-02032019
SHA,11,387,125,18,12,8,20,24,6,1,2,0,0,0,49%,1,12,3,39%,6,0,67%,12,0,2,0.48,1,180,122,28,0,88,2,sharks-stormers-jonsson-kings-park-02032019
STO,16,343,111,24,6,6,11,18,6,0,3,2,0,0,49%,6,18,1,58%,2,1,22%,7,0,1,0.52,1,113,140,34,1,88,2,sharks-stormers-jonsson-kings-park-02032019
JAG,23,282,95,13,8,5,13,26,7,2,2,1,0,0,33%,2,9,0,39%,1,1,11%,10,0,1,0.34,3,128,200,28,1,65,1,jaguares-blues-estadio-jose-amalfitani-02032019
BLU,19,438,168,26,7,8,12,13,4,0,4,2,0,0,66%,4,13,1,57%,6,2,67%,7,0,0,0.66,1,207,108,21,1,129,2,jaguares-blues-estadio-jose-amalfitani-02032019
HUR,25,417,111,27,9,6,18,11,5,1,2,1,0,0,44%,3,8,2,35%,7,0,44%,9,0,0,0.45,3,143,125,14,2,73,3,hurricanes-highlanders-westpac-stadium-08032019
HIG,22,315,110,11,8,7,14,27,9,1,1,1,0,0,53%,6,13,2,57%,9,0,56%,12,0,0,0.55,3,109,130,16,2,88,5,hurricanes-highlanders-westpac-stadium-08032019
REB,29,255,94,21,9,3,8,17,4,1,1,0,0,0,49%,4,13,1,46%,8,1,53%,12,0,2,0.50,4,79,107,17,3,64,3,rebels-brumbies-aami-park-08032019
BRU,26,264,87,17,6,2,9,21,6,1,0,0,0,0,49%,7,14,1,50%,7,0,47%,12,0,0,0.50,3,98,117,18,2,64,2,rebels-brumbies-aami-park-08032019
CRU,57,643,150,34,19,19,10,27,5,3,0,0,0,0,58%,2,9,2,41%,6,2,43%,11,0,0,0.56,9,197,103,18,6,86,3,crusaders-chiefs-christchurch-stadium-09032019
CHI,28,419,110,27,15,13,17,34,4,0,0,0,0,0,40%,1,11,2,50%,8,0,57%,5,0,0,0.44,4,161,135,15,4,60,3,crusaders-chiefs-christchurch-stadium-09032019
BLU,28,426,138,28,14,15,18,24,8,3,2,1,0,0,52%,2,11,1,85%,7,0,44%,3,0,0,0.52,4,155,135,11,1,98,1,blues-sunwolves-qbe-stadium-09032019
SUN,20,445,118,24,12,4,10,28,6,0,2,0,0,0,46%,0,1,1,8%,8,1,50%,15,0,2,0.48,2,129,156,15,2,86,5,blues-sunwolves-qbe-stadium-09032019
WAR,28,305,68,11,7,6,7,29,11,1,3,0,0,0,25%,1,8,1,24%,7,0,64%,14,0,0,0.29,3,98,191,20,2,40,3,nsw-waratahs-reds-sydney-cricket-ground-09032019
RED,17,391,145,29,6,5,15,11,5,2,0,1,0,0,69%,3,24,1,73%,2,2,18%,10,0,1,0.71,3,174,61,16,1,108,9,nsw-waratahs-reds-sydney-cricket-ground-09032019
LIO,47,543,125,25,13,9,14,16,5,1,0,0,0,0,52%,4,11,1,44%,6,0,46%,9,0,0,0.51,7,160,91,20,6,75,1,lions-jaguares-emirates-airlines-park-09032019
JAG,39,326,92,16,7,7,14,25,3,3,1,0,0,0,45%,8,12,2,48%,4,3,31%,9,0,0,0.49,6,113,119,19,3,64,4,lions-jaguares-emirates-airlines-park-09032019
BUL,37,405,88,17,10,10,8,26,11,1,5,0,1,0,37%,4,8,2,33%,10,1,77%,6,0,0,0.42,3,103,133,26,2,49,2,bulls-sharks-loftus-versfeld-09032019
SHA,14,366,121,26,5,10,20,17,2,0,0,0,0,0,61%,6,15,1,63%,2,1,15%,7,0,0,0.58,2,128,71,20,2,80,2,bulls-sharks-loftus-versfeld-09032019
CHI,23,497,119,19,11,16,16,36,8,0,3,1,0,0,47%,2,14,2,58%,7,0,41%,7,0,0,0.48,2,158,119,26,2,71,3,chiefs-hurricanes-fmg-stadium-waikato-15032019
HUR,23,532,121,36,6,4,16,19,12,0,3,0,0,0,51%,2,9,1,38%,10,0,59%,6,0,0,0.52,2,149,99,29,2,77,2,chiefs-hurricanes-fmg-stadium-waikato-15032019
BRU,19,234,99,10,3,7,12,23,5,1,0,0,0,0,46%,6,17,1,59%,8,1,57%,9,0,0,0.50,2,118,134,23,1,72,2,brumbies-nsw-waratahs-gio-stadium-15032019
WAR,13,447,132,23,12,16,12,10,3,2,1,1,0,0,51%,2,9,3,31%,6,0,43%,10,0,2,0.50,2,200,123,16,0,81,5,brumbies-nsw-waratahs-gio-stadium-15032019
STO,35,309,105,15,7,7,19,22,8,1,3,0,0,0,45%,6,12,2,41%,7,1,64%,6,0,0,0.50,4,142,132,26,3,69,2,stormers-jaguares-dhl-newlands-15032019
JAG,8,357,137,22,11,15,20,15,6,1,1,0,0,0,53%,6,15,2,52%,3,1,27%,9,0,0,0.50,1,216,111,21,0,81,4,stormers-jaguares-dhl-newlands-15032019
SUN,31,408,103,27,11,5,13,49,5,0,1,0,0,0,36%,1,13,1,52%,4,0,31%,11,0,0,0.37,4,113,158,15,4,62,1,sunwolves-reds-prince-chichibu-memorial-stadium-16032019
RED,34,506,141,49,14,3,13,27,8,2,1,0,0,0,62%,5,11,1,44%,9,0,69%,4,0,0,0.63,5,192,104,15,3,107,4,sunwolves-reds-prince-chichibu-memorial-stadium-16032019
LIO,36,595,149,33,15,7,16,14,7,1,1,0,0,0,73%,2,17,3,85%,8,1,44%,1,0,0,0.70,5,180,67,10,4,103,1,lions-rebels-emirates-airlines-park-16032019
REB,33,489,71,14,12,5,13,33,6,1,0,0,0,0,26%,1,2,1,10%,8,2,44%,20,0,2,0.30,5,68,148,14,4,37,2,lions-rebels-emirates-airlines-park-16032019
BLU,33,436,111,32,10,4,12,15,6,2,3,1,0,0,65%,1,11,2,61%,5,1,33%,10,0,0,0.61,4,142,73,18,2,88,2,blues-highlanders-eden-park-22032019
HIG,26,267,74,15,5,4,16,32,6,0,4,0,0,0,33%,2,6,1,33%,10,0,67%,7,0,1,0.39,2,92,140,21,2,45,3,blues-highlanders-eden-park-22032019
HUR,34,431,145,27,11,7,12,16,6,2,1,1,0,0,63%,1,12,3,44%,2,0,25%,11,0,1,0.60,5,159,115,24,3,114,6,hurricanes-stormers-westpac-stadium-23032019
STO,28,341,99,16,6,7,10,27,7,1,3,0,0,0,35%,8,14,1,52%,6,0,75%,7,0,1,0.40,3,117,188,26,2,63,3,hurricanes-stormers-westpac-stadium-23032019
WAR,20,312,96,22,11,5,23,23,7,2,1,0,0,1,37%,3,18,0,58%,8,0,47%,3,0,0,0.42,3,134,166,31,1,66,2,nsw-waratahs-crusaders-sydney-cricket-ground-23032019
CRU,12,523,146,23,10,9,24,22,11,1,0,1,0,0,60%,2,10,3,32%,9,0,53%,6,0,0,0.58,2,197,101,23,1,107,4,nsw-waratahs-crusaders-sydney-cricket-ground-23032019
SUN,24,586,121,25,17,18,15,30,9,0,1,0,0,0,48%,0,5,2,31%,9,1,53%,12,0,0,0.46,2,160,112,20,2,66,6,sunwolves-lions-singapore-national-stadium-23032019
LIO,37,530,116,30,13,4,15,25,5,4,1,1,0,0,51%,6,11,0,69%,7,1,41%,6,0,1,0.54,6,124,119,24,2,70,2,sunwolves-lions-singapore-national-stadium-23032019
BUL,20,388,99,18,5,3,14,16,1,0,2,0,0,0,45%,1,8,1,42%,7,0,50%,9,0,0,0.46,2,134,121,13,2,66,4,bulls-chiefs-loftus-versfeld-23032019
CHI,56,396,128,16,16,15,10,18,8,1,3,0,0,0,54%,4,11,0,58%,7,0,50%,4,0,1,0.54,7,190,107,20,6,80,1,bulls-chiefs-loftus-versfeld-23032019
SHA,28,342,96,20,7,4,13,18,7,1,3,1,0,0,45%,4,8,3,36%,12,2,63%,7,0,1,0.48,3,112,137,28,2,66,1,sharks-rebels-jonsson-kings-park-23032019
REB,14,345,124,18,5,11,26,20,5,0,0,0,0,0,54%,4,13,1,59%,7,0,37%,11,0,0,0.52,2,147,117,14,2,79,2,sharks-rebels-jonsson-kings-park-23032019
RED,36,469,98,26,8,3,16,15,7,1,1,0,0,0,51%,7,18,1,51%,7,0,58%,10,0,0,0.55,5,109,100,27,4,65,5,reds-brumbies-suncorp-stadium-24032019
