Team,Score,Metres carried,Carries,Defenders beaten,Clean breaks,Offloads,Turnovers conceded,Missed tackles,Turnovers won,Conversions missed,Penalty goals,Penalty goals missed,Drop goals,Drop goals missed,Rucks won %,Mauls won,Lineouts won,Lineouts lost,Lineouts won %,Scrums won,Scrums lost,Scrums won %,Penalties conceded,Red cards,Yellow cards,Possession,Tries,Passes,Tackles,Kicks in play,Conversions,Rucks won,Rucks lost,Match_ID
SHA,14,534,140,30,6,3,18,22,6,0,0,0,0,0,56%,4,17,3,59%,10,1,56%,7,0,0,0.58,2,169,121,17,2,93,5,sharks-reds-jonsson-kings-park-19042019
RED,21,398,107,22,14,12,12,30,12,0,0,0,0,0,44%,4,10,2,34%,6,2,33%,8,0,0,0.42,3,142,151,25,3,72,0,sharks-reds-jonsson-kings-park-19042019
HIG,24,371,110,18,8,9,16,24,10,0,1,0,0,0,48%,2,9,2,53%,10,0,50%,7,0,0,0.49,2,137,142,16,2,79,1,highlanders-blues-forsyth-barr-stadium-20042019
BLU,12,480,126,24,12,10,19,18,3,1,0,0,0,0,49%,1,8,0,47%,10,0,50%,8,0,0,0.51,2,160,132,12,1,80,5,highlanders-blues-forsyth-barr-stadium-20042019
WAR,23,364,99,17,14,3,18,19,5,0,3,0,0,0,44%,4,14,2,45%,8,1,67%,8,0,0,0.48,2,127,134,33,2,66,4,nsw-waratahs-rebels-sydney-cricket-ground-20042019
REB,20,293,107,19,3,5,18,17,8,0,2,2,0,0,54%,4,15,2,48%,3,1,25%,12,0,1,0.52,2,89,107,32,2,81,3,nsw-waratahs-rebels-sydney-cricket-ground-20042019
STO,17,463,172,29,9,10,19,9,1,0,1,1,0,0,71%,7,19,0,56%,6,0,46%,8,0,0,0.66,1,209,91,18,1,130,4,stormers-brumbies-dhl-newlands-20042019
BRU,19,172,81,9,3,8,12,29,10,1,0,0,0,0,28%,6,13,2,38%,5,2,38%,12,0,1,0.34,3,93,224,22,2,52,2,stormers-brumbies-dhl-newlands-20042019
CRU,36,587,148,25,15,6,26,14,6,1,1,0,0,0,58%,2,13,1,50%,4,0,31%,10,0,0,0.57,5,192,118,9,4,105,5,crusaders-lions-christchurch-stadium-26042019
LIO,10,225,96,14,8,5,14,25,13,0,1,0,0,0,41%,2,12,1,46%,7,2,54%,11,0,0,0.43,1,122,185,13,1,74,2,crusaders-lions-christchurch-stadium-26042019
SUN,0,450,117,22,10,4,27,42,7,0,0,0,0,0,52%,1,8,2,36%,7,2,39%,10,0,0,0.47,0,138,111,17,0,71,4,sunwolves-highlanders-prince-chichibu-memorial-stadium-26042019
HIG,52,611,124,42,25,18,18,22,9,2,0,0,0,0,46%,3,12,2,55%,11,0,61%,9,0,0,0.53,8,164,126,31,6,62,3,sunwolves-highlanders-prince-chichibu-memorial-stadium-26042019
HUR,47,545,96,26,15,7,11,26,7,1,0,0,0,0,35%,1,2,5,22%,13,0,59%,6,0,0,0.39,7,116,162,20,6,57,0,hurricanes-chiefs-westpac-stadium-27042019
CHI,19,528,151,26,15,17,18,26,2,1,0,0,0,0,63%,3,5,2,56%,9,0,41%,4,0,0,0.61,3,206,99,9,2,102,3,hurricanes-chiefs-westpac-stadium-27042019
WAR,15,445,170,24,9,19,14,20,3,1,1,0,0,0,58%,3,13,3,46%,4,1,36%,8,1,1,0.57,2,213,133,28,1,114,2,nsw-waratahs-sharks-bankwest-stadium-27042019
SHA,23,438,124,20,8,9,18,24,7,0,3,2,0,0,41%,5,12,3,43%,6,1,55%,9,0,1,0.43,2,156,190,28,2,81,2,nsw-waratahs-sharks-bankwest-stadium-27042019
STO,24,597,135,31,16,16,19,35,10,0,1,0,0,0,41%,2,7,1,37%,4,2,40%,9,0,0,0.42,3,170,158,29,3,74,5,stormers-bulls-dhl-newlands-27042019
BUL,23,441,142,35,8,13,24,31,7,0,3,1,0,0,56%,5,11,1,58%,6,0,60%,5,0,0,0.58,2,167,117,31,2,101,6,stormers-bulls-dhl-newlands-27042019
JAG,20,425,123,20,11,3,14,14,9,2,1,0,0,0,56%,2,5,3,22%,4,1,27%,12,0,1,0.51,3,167,122,27,1,94,0,jaguares-brumbies-estadio-jose-amalfitani-27042019
BRU,15,335,105,14,2,3,16,20,3,1,1,0,0,0,42%,6,16,2,70%,11,0,73%,6,0,0,0.49,2,142,137,19,1,70,3,jaguares-brumbies-estadio-jose-amalfitani-27042019
CRU,21,,,8,7,4,16,7,8,0,0,0,0,0,74%,4,,0,,3,0,,15,,,0.6690647482014388,3,156,58,16,3,113,2,crusaders-sharks-ami-stadium-03052019
SHA,21,,,0,4,4,7,17,8,0,7,2,0,0,25%,2,,4,,3,0,,6,,,0.33093525179856115,0,64,157,23,0,39,1,crusaders-sharks-ami-stadium-03052019
RED,32,,,6,9,7,12,5,10,1,2,0,0,0,69%,5,,1,,3,0,,10,,,0.6276595744680851,4,142,77,18,3,101,1,reds-sunwolves-suncorp-stadium-03052019
SUN,26,,,7,7,4,11,24,6,0,4,0,0,0,30%,0,,1,,6,0,,15,,,0.3723404255319149,3,88,138,18,2,44,2,reds-sunwolves-suncorp-stadium-03052019
HUR,29,,,9,13,4,8,13,17,1,1,0,0,0,41%,1,,0,,9,0,,9,,,0.4584717607973422,4,106,136,26,3,56,4,hurricanes-rebels-westpac-stadium-04052019
REB,19,,,16,15,9,19,26,5,1,0,2,0,0,59%,6,,2,,8,0,,3,,,0.5415282392026578,3,132,91,13,2,81,4,hurricanes-rebels-westpac-stadium-04052019
HIG,31,,,4,4,0,8,3,10,0,1,0,0,0,51%,5,,2,,6,0,,4,,,0.4873417721518987,4,167,98,22,4,87,0,highlanders-chiefs-forsyth-barr-stadium-04052019
CHI,31,,,10,8,14,18,20,13,2,0,0,0,0,48%,0,,2,,5,0,,7,,,0.5126582278481012,5,163,145,15,3,81,3,highlanders-chiefs-forsyth-barr-stadium-04052019
BRU,26,,,2,4,0,6,2,4,1,0,0,0,0,51%,11,,0,,5,0,,9,,,0.5056603773584906,4,106,84,18,3,74,2,brumbies-blues-gio-stadium-04052019
BLU,21,,,10,12,4,5,7,6,1,3,2,0,0,48%,2,,0,,4,0,,12,,,0.49433962264150944,2,111,114,15,1,70,1,brumbies-blues-gio-stadium-04052019
BUL,28,,,10,5,5,16,11,12,1,3,1,0,0,56%,0,,1,,4,0,,6,,,0.5208333333333334,3,91,74,21,2,60,5,bulls-waratahs-loftus-versfeld-04052019
WAR,21,,,4,6,7,7,11,8,0,0,0,0,0,44%,6,,0,,7,0,,8,,,0.4791666666666667,3,126,90,17,3,48,3,bulls-waratahs-loftus-versfeld-04052019
JAG,30,,,6,3,11,13,11,13,0,3,0,0,0,51%,3,,1,,7,0,,14,,,0.5400696864111498,3,158,75,27,2,75,1,jaguares-stormers-estadio-jose-amalfitani-04052019
STO,25,,,0,0,2,23,21,8,0,6,1,0,0,46%,4,,2,,6,0,,8,,,0.45993031358885017,1,109,105,21,1,68,4,jaguares-stormers-estadio-jose-amalfitani-04052019
BLU,12,,,7,12,3,22,10,12,1,0,0,0,0,61%,5,,1,,13,0,38%,9,,,0.5743243243243243,2,136,81,12,1,101,4,blues-hurricanes-eden-park-10052019
HUR,22,,,8,6,2,15,21,13,0,1,0,0,0,39%,3,,2,,8,0,62%,15,,,0.42567567567567566,3,81,125,21,2,64,1,blues-hurricanes-eden-park-10052019
REB,30,,,12,9,5,15,15,4,2,2,0,0,0,54%,9,,3,,4,0,,10,,,0.5434782608695652,4,133,85,22,2,74,0,rebels-reds-aami-park-10052019
RED,24,,,8,8,4,4,17,11,1,4,0,0,0,46%,4,,0,,4,0,,14,,,0.45652173913043476,2,87,126,21,1,64,0,rebels-reds-aami-park-10052019
BUL,13,,,5,14,15,19,19,19,0,2,0,0,0,51%,4,,1,,3,0,,4,,,0.4808259587020649,1,113,112,27,1,76,4,bulls-crusaders-loftus-versfeld-10052019
CRU,45,,,14,11,10,19,5,13,2,0,0,0,0,47%,1,,3,,9,0,,12,,,0.5191740412979351,7,139,96,32,5,71,4,bulls-crusaders-loftus-versfeld-10052019
HIG,32,,,14,9,11,10,17,7,1,2,0,0,0,52%,4,,0,,5,0,40%,7,,,0.515850144092219,4,125,111,27,3,78,4,highlanders-jaguares-forsyth-barr-stadium-11052019
JAG,27,,,19,12,6,14,15,6,0,2,1,0,0,48%,2,,0,,3,0,60%,11,,,0.484149855907781,3,126,94,27,3,72,3,highlanders-jaguares-forsyth-barr-stadium-11052019
CHI,29,,,7,10,5,10,16,13,1,0,1,0,0,44%,2,,1,,7,0,86%,8,,,0.4813753581661891,4,108,136,27,3,79,0,chiefs-sharks-fmg-stadium-11052019
SHA,23,,,16,9,11,17,13,7,0,3,0,0,0,56%,4,,1,,1,0,14%,6,,,0.5186246418338109,2,143,85,25,2,101,0,chiefs-sharks-fmg-stadium-11052019
LIO,29,,,14,14,13,24,15,13,1,1,0,0,0,65%,8,,2,,4,0,-25%,2,,,0.5970149253731343,4,152,90,17,3,112,2,lions-waratahs-emirates-airline-park-11052019
WAR,28,,,11,14,10,14,15,9,0,0,0,0,1,35%,1,,3,,5,0,125%,11,,,0.40298507462686567,4,128,126,17,4,60,1,lions-waratahs-emirates-airline-park-11052019
BRU,33,,,11,13,7,13,9,11,1,0,0,0,0,39%,5,,2,,2,0,-150%,8,,,0.46273291925465837,5,107,152,22,4,58,3,brumbies-sunwolves-gio-stadium-12052019
SUN,0,,,6,12,12,19,16,2,0,0,0,0,0,59%,1,,2,,5,0,250%,10,,,0.5372670807453416,0,170,79,20,0,88,3,brumbies-sunwolves-gio-stadium-12052019
HUR,20,,,21,11,14,19,17,6,2,1,0,0,0,63%,1,,4,,7,0,64%,7,,,0.5549132947976878,3,143,84,21,1,95,3,hurricanes-jaguares-westpac-stadium-17052019
JAG,28,,,8,6,9,11,38,10,0,0,0,0,0,37%,4,,1,,4,0,36%,13,,,0.44508670520231214,4,97,147,29,3,56,1,hurricanes-jaguares-westpac-stadium-17052019
REB,17,,,10,12,17,18,16,9,2,0,0,0,0,66%,6,,1,,5,0,56%,7,,,0.5851393188854489,3,154,80,23,1,107,0,rebels-bulls-aami-park-17052019
BUL,32,,,7,1,7,16,12,14,1,2,1,0,0,33%,5,,1,,3,1,33%,11,,,0.4148606811145511,4,66,133,27,3,53,1,rebels-bulls-aami-park-17052019
BLU,23,,,4,4,13,15,8,6,4,1,0,0,0,68%,5,,1,,9,1,53%,4,,,0.6167247386759582,4,151,77,24,0,90,1,blues-chiefs-eden-park-18052019
CHI,8,,,6,11,2,17,12,11,1,1,1,0,0,31%,3,,1,,8,0,47%,8,,,0.3832752613240418,1,73,155,23,0,41,3,blues-chiefs-eden-park-18052019
RED,32,,,2,1,9,9,17,12,5,0,0,0,0,45%,2,,0,,8,0,80%,7,,,0.4768211920529801,6,115,135,26,1,62,2,reds-waratahs-suncorp-stadium-18052019
WAR,40,,,10,21,2,14,13,6,0,4,1,0,0,55%,2,,3,,2,0,20%,3,,,0.5231788079470199,4,187,121,21,4,76,2,reds-waratahs-suncorp-stadium-18052019
LIO,38,,,19,12,17,14,9,6,0,1,0,0,0,67%,4,,2,,4,0,33%,3,,,0.6241830065359477,5,192,87,15,5,97,0,lions-highlanders-emirates-airline-park-18052019
HIG,29,,,11,9,8,9,24,9,3,0,0,0,0,33%,0,,1,,8,0,67%,12,,,0.3758169934640523,5,125,129,16,2,47,0,lions-highlanders-emirates-airline-park-18052019
STO,19,,,12,6,9,10,21,7,0,4,1,0,0,57%,9,,1,,3,0,33%,8,,,0.5158227848101266,1,117,112,30,1,79,2,stormers-crusaders-newlands-18052019
CRU,19,,,20,5,13,12,12,8,1,0,0,0,0,43%,5,,1,,6,0,67%,13,,,0.48417721518987344,3,119,86,26,2,59,0,stormers-crusaders-newlands-18052019
CHI,19,,,11,7,10,12,19,10,1,0,0,0,0,28%,0,,1,,3,0,33%,13,,,0.35278514588859416,3,142,262,23,2,62,1,chiefs-reds-fmg-stadium-24052019
RED,13,,,21,7,6,17,21,6,0,2,0,0,0,71%,7,,2,,6,0,67%,3,,,0.6472148541114059,1,209,113,24,1,159,5,chiefs-reds-fmg-stadium-24052019
BRU,22,,,11,12,12,11,9,10,3,0,1,0,0,55%,5,,1,,4,0,50%,11,,,0.5708661417322834,4,123,102,16,1,74,1,brumbies-bulls-gio-stadium-24052019
BUL,10,,,6,7,5,10,16,7,0,1,0,0,0,44%,7,,1,,3,0,50%,10,,,0.42913385826771655,1,132,123,15,1,59,1,brumbies-bulls-gio-stadium-24052019
SUN,7,,,16,10,13,27,23,17,0,0,0,0,0,39%,4,,2,,4,2,40%,14,,,0.4013605442176871,1,102,138,17,1,45,0,sunwolves-rebels-chichibunomiya-rugby-stadium-25052019
REB,52,,,10,6,11,18,15,14,2,0,1,0,0,58%,11,,0,,6,0,60%,10,,,0.5986394557823129,8,125,102,25,6,67,3,sunwolves-rebels-chichibunomiya-rugby-stadium-25052019
CRU,19,,,12,4,6,20,9,10,0,4,1,0,0,48%,5,,2,,8,0,53%,9,,,0.5734767025089605,1,94,116,38,1,56,2,crusaders-blues-ami-stadium-25052019
BLU,11,,,5,3,1,14,14,9,1,2,0,0,0,49%,1,,1,,7,0,47%,12,,,0.4265232974910394,1,91,102,26,0,57,4,crusaders-blues-ami-stadium-25052019
WAR,15,,,22,7,10,15,11,6,1,1,0,0,0,42%,7,,0,,7,0,64%,6,,,0.46703296703296704,2,181,137,24,0,78,2,waratahs-jaguares-allianz-stadium-25052019
JAG,23,,,13,6,12,14,17,16,0,3,0,0,1,57%,7,,1,,4,0,36%,6,,,0.532967032967033,2,197,136,32,2,105,3,waratahs-jaguares-allianz-stadium-25052019
STO,34,,,28,17,16,24,21,12,0,2,1,0,0,48%,3,,2,,4,0,27%,6,,,0.501466275659824,4,146,109,25,4,72,2,stormers-highlanders-newlands-25052019
HIG,22,,,13,5,14,16,10,22,1,1,0,0,0,50%,2,,0,,11,0,73%,7,,,0.49853372434017595,3,164,85,29,2,74,3,stormers-highlanders-newlands-25052019
SHA,27,,,11,6,6,11,24,7,0,2,1,0,0,30%,4,,1,,6,0,60%,7,,,0.39768339768339767,3,68,135,19,3,39,2,sharks-lions-kings-park-stadium-25052019
LIO,17,,,7,2,3,13,1,10,0,1,1,0,0,69%,0,,0,,4,1,40%,11,,,0.6023166023166023,2,180,37,21,2,88,2,sharks-lions-kings-park-stadium-25052019
BLU,22,,,15,9,6,16,11,8,1,1,1,0,1,66%,1,,2,,10,0,67%,6,,,0.5993150684931506,3,117,85,25,2,93,2,blues-bulls-eden-park-31052019
BUL,22,,,8,2,3,15,16,9,1,1,0,0,0,33%,4,,0,,4,1,27%,9,,,0.4006849315068493,3,74,147,25,2,46,1,blues-bulls-eden-park-31052019
REB,15,,,7,5,12,18,11,5,1,1,0,0,0,70%,5,,0,,3,0,23%,7,,,0.5947521865889213,2,139,83,35,1,108,1,rebels-waratahs-aami-park-31052019
WAR,20,,,11,3,4,11,9,8,0,2,0,0,0,30%,2,,1,,10,0,77%,7,,,0.40524781341107874,2,93,164,43,2,47,0,rebels-waratahs-aami-park-31052019
SUN,19,,,5,4,12,10,16,8,1,0,0,0,0,49%,1,,0,,4,0,43%,12,,,0.4575645756457565,3,142,114,15,2,64,0,sunwolves-brumbies-chichibunomiya-rugby-stadium-01062019
BRU,42,,,18,9,11,12,14,7,0,0,0,0,0,50%,8,,0,,4,0,57%,9,,,0.5424354243542435,6,117,101,11,6,65,2,sunwolves-brumbies-chichibunomiya-rugby-stadium-01062019
CHI,40,,,5,7,14,16,17,10,1,0,1,0,0,51%,0,,1,,11,0,71%,6,,,0.5217391304347826,6,131,94,29,5,67,4,chiefs-crusaders-anz-stadium-01062019
CRU,27,,,14,5,16,21,16,9,2,1,0,0,0,47%,7,,3,,4,0,29%,3,,,0.4782608695652174,4,136,105,24,2,61,3,chiefs-crusaders-anz-stadium-01062019
RED,23,,,8,10,11,13,7,5,0,3,0,0,0,50%,6,,2,,5,0,36%,8,,,0.477124183006536,2,117,85,26,2,55,3,reds-jaguares-suncorp-stadium-01062019
JAG,34,,,12,5,8,15,25,18,2,1,0,0,0,50%,6,,1,,7,0,64%,9,,,0.5228758169934641,5,128,97,32,3,55,1,reds-jaguares-suncorp-stadium-01062019
SHA,17,,,13,9,9,14,7,12,0,1,1,0,0,53%,0,,0,,3,0,27%,16,,,0.5,2,116,58,17,2,60,3,sharks-hurricanes-kings-park-stadium-01062019
HUR,30,,,10,5,6,7,18,10,0,3,1,0,0,46%,1,,0,,8,0,73%,9,,,0.5,3,94,124,25,3,52,1,sharks-hurricanes-kings-park-stadium-01062019
LIO,41,,,23,10,15,11,8,22,2,1,1,0,0,49%,1,,1,,1,0,13%,11,,,0.5117056856187291,6,151,78,15,4,74,0,lions-stormers-emirates-airline-park-01062019
STO,22,,,10,2,8,20,29,4,1,1,0,0,0,48%,7,,2,,6,2,75%,9,,,0.4882943143812709,3,138,134,16,2,72,6,lions-stormers-emirates-airline-park-01062019
HIG,14,,,3,1,1,4,0,3,0,0,0,0,0,56%,1,,2,,1,0,,0,,,0.6666666666666666,2,19,14,8,2,10,0,highlanders-bulls-forsyth-barr-stadium-07062019
BUL,0,,,1,0,0,3,1,3,0,0,0,0,0,39%,1,,0,,0,0,,2,,,0.3333333333333333,0,16,13,6,0,7,1,highlanders-bulls-forsyth-barr-stadium-07062019
RED,29,,,7,4,17,11,19,5,1,1,0,0,0,66%,6,,1,,4,0,,6,,,0.6160714285714286,4,157,80,17,3,109,4,reds-blues-suncorp-stadium-07062019
BLU,28,,,17,7,6,9,26,8,0,0,0,0,0,33%,1,,1,,1,0,,16,,,0.38392857142857145,4,111,206,17,4,54,2,reds-blues-suncorp-stadium-07062019
CRU,66,,,15,23,20,21,17,16,2,0,0,0,0,46%,0,,1,,10,0,,5,,,0.6127167630057804,10,149,136,27,8,68,1,crusaders-rebels-ami-stadium-08062019
REB,0,,,5,8,8,20,29,15,0,0,1,0,0,54%,1,,2,,8,0,,7,,,0.3872832369942196,0,140,113,21,0,79,0,crusaders-rebels-ami-stadium-08062019
WAR,24,,,6,7,5,18,11,11,0,1,0,0,0,60%,3,,1,,8,0,,7,,,0.5501618122977346,3,162,156,16,3,102,0,waratahs-brumbies-allianz-stadium-08062019
BRU,35,,,10,8,3,12,6,19,0,0,0,0,0,38%,0,,0,,9,0,,11,,,0.44983818770226536,5,106,106,10,5,65,2,waratahs-brumbies-allianz-stadium-08062019
LIO,17,,,16,12,12,19,15,9,0,1,0,0,0,61%,5,,1,,5,0,,7,,,0.5294117647058824,2,172,84,21,2,82,4,lions-hurricanes-emirates-airline-park-08062019
HUR,37,,,13,6,10,6,13,22,2,2,0,0,0,37%,0,,0,,6,0,,10,,,0.47058823529411764,5,122,92,28,3,50,4,lions-hurricanes-emirates-airline-park-08062019
STO,31,,,11,8,8,17,5,19,0,1,0,0,0,41%,0,,0,,3,0,27%,7,,,0.4527027027027027,4,98,102,19,4,57,5,stormers-sunwolves-newlands-08062019
SUN,18,,,5,8,15,10,3,9,1,2,0,0,0,59%,0,,0,,8,0,73%,12,,,0.5472972972972973,2,142,75,25,1,83,0,stormers-sunwolves-newlands-08062019
JAG,34,,,12,4,6,12,13,12,2,1,3,0,0,45%,4,,1,,4,1,,10,,,0.519163763066202,5,136,112,23,3,69,0,jaguares-sharks-estadio-jose-amalfitani-08062019
SHA,7,,,14,0,3,15,7,5,0,0,0,0,0,54%,6,,3,,6,0,,11,,,0.4808362369337979,1,144,90,13,1,82,3,jaguares-sharks-estadio-jose-amalfitani-08062019
HIG,49,,,16,6,5,15,7,8,0,0,0,0,0,53%,4,,2,,10,0,,4,,,0.5880503144654088,7,118,114,27,6,92,4,highlanders-waratahs-forsyth-barr-stadium-14062019
WAR,12,,,3,2,0,15,10,8,1,0,0,0,0,45%,1,,0,,7,0,,6,,,0.4119496855345912,2,119,98,25,1,78,2,highlanders-waratahs-forsyth-barr-stadium-14062019
REB,8,,,6,2,15,21,20,13,1,1,0,0,0,53%,2,,0,,5,0,,7,,,0.4567901234567901,1,148,148,24,0,81,2,rebels-chiefs-aami-park-14062019
CHI,59,,,12,8,7,14,8,17,2,0,0,0,0,45%,0,,0,,8,0,,8,,,0.5432098765432098,9,143,101,28,7,69,5,rebels-chiefs-aami-park-14062019
JAG,52,,,17,10,13,16,20,11,2,0,0,0,0,40%,11,,0,,5,0,,7,,,0.5315315315315315,8,148,114,25,5,66,0,jaguares-sunwolves-estadio-jose-amalfitani-15062019
SUN,10,,,14,5,5,11,9,4,2,0,0,0,0,60%,0,,2,,9,0,,11,,,0.46846846846846846,2,178,93,20,0,98,0,jaguares-sunwolves-estadio-jose-amalfitani-15062019
HUR,29,,,18,3,2,16,17,12,1,1,0,0,0,59%,1,,3,,8,0,,5,,,0.5063291139240507,4,137,108,18,3,99,1,hurricanes-blues-westpac-stadium-15062019
BLU,24,,,11,12,10,17,27,6,0,1,0,0,0,39%,1,,1,,13,0,,12,,,0.4936708860759494,3,122,125,17,3,65,3,hurricanes-blues-westpac-stadium-15062019
BRU,40,,,12,4,7,11,12,11,1,0,0,0,0,46%,4,,0,,1,0,,11,,,0.46959459459459457,6,125,126,22,4,72,1,brumbies-reds-gio-stadium-15062019
RED,27,,,6,5,1,15,19,7,0,1,0,1,0,52%,3,,3,,1,0,,9,,,0.5304054054054054,3,118,92,24,3,80,3,brumbies-reds-gio-stadium-15062019
STO,9,,,9,3,6,18,23,6,0,3,0,0,0,47%,5,,0,,6,0,,3,,,0.4403409090909091,0,157,180,23,0,94,1,stormers-sharks-newlands-15062019
SHA,12,,,21,10,12,18,16,20,1,0,0,0,0,52%,5,,1,,6,0,,10,,,0.5596590909090909,2,185,130,27,1,103,3,stormers-sharks-newlands-15062019
BUL,48,,,19,10,10,12,14,11,1,1,1,0,0,40%,2,,1,,2,0,,13,,,0.48220064724919093,7,111,93,17,5,53,3,bulls-lions-loftus-versfeld-15062019
LIO,27,,,15,8,10,17,24,12,1,4,0,1,2,58%,3,,2,,1,0,,8,,,0.517799352750809,2,159,95,18,1,78,6,bulls-lions-loftus-versfeld-15062019
CRU,38,,,16,8,12,17,15,13,0,1,0,0,0,50%,6,,1,,5,0,50%,7,,,0.5774647887323944,5,145,102,23,5,58,5,crusaders-highlanders-ami-stadium-21062019
HIG,14,,,17,4,5,15,18,7,0,0,1,0,0,47%,0,,3,,5,0,50%,9,,,0.4225352112676056,2,94,96,18,2,54,4,crusaders-highlanders-ami-stadium-21062019
JAG,21,,,8,7,5,12,18,9,1,3,0,0,1,42%,6,,1,,3,1,43%,10,,,0.476038338658147,2,121,127,31,1,66,1,jaguares-chiefs-estadio-jose-amalfitani-21062019
CHI,16,,,14,9,10,21,14,8,0,3,0,0,0,58%,4,,5,,4,0,57%,10,,,0.5239616613418531,1,179,129,18,1,92,1,jaguares-chiefs-estadio-jose-amalfitani-21062019
HUR,35,,,22,6,15,12,11,6,1,3,0,0,1,45%,1,,1,,10,1,67%,7,,,0.5214723926380368,4,112,127,28,3,58,1,hurricanes-bulls-westpac-stadium-22062019
BUL,28,,,7,8,12,15,17,8,0,0,0,0,0,55%,3,,1,,5,0,33%,7,,,0.4785276073619632,4,115,110,24,3,70,0,hurricanes-bulls-westpac-stadium-22062019
BRU,38,,,18,8,7,9,16,10,0,1,0,0,0,32%,2,,0,,2,0,40%,7,,,0.4406779661016949,5,99,181,22,5,52,1,brumbies-sharks-gio-stadium-22062019
SHA,13,,,16,8,3,12,13,4,0,2,0,0,0,67%,6,,0,,3,0,60%,7,,,0.559322033898305,1,232,87,20,1,110,1,brumbies-sharks-gio-stadium-22062019
JAG,39,,,31,9,8,14,6,13,1,2,0,0,0,47%,4,,0,,5,0,38%,6,,,0.5594855305466238,5,180,88,27,4,69,1,jaguares-brumbies-estadio-jose-amalfitani-28062019
BRU,7,,,5,2,3,19,27,6,0,0,0,0,0,52%,4,,7,,8,0,62%,5,,,0.4405144694533762,1,121,152,20,1,77,1,jaguares-brumbies-estadio-jose-amalfitani-28062019
CRU,30,,,18,8,11,18,26,9,0,3,0,0,0,45%,5,,2,,4,0,40%,3,,,0.5028248587570622,3,118,141,29,3,80,2,crusaders-hurricanes-ami-stadium-29062019
HUR,26,,,24,8,12,12,15,9,1,0,1,0,0,53%,0,,1,,6,0,60%,7,,,0.4971751412429379,4,179,115,30,3,95,3,crusaders-hurricanes-ami-stadium-29062019
CRU,19,,,13,4,7,22,17,10,0,4,0,0,0,44%,2,,1,,6,0,37%,4,,,0.46325878594249204,1,102,116,23,1,78,1,crusaders-jaguares-ami-stadium-06072019
JAG,3,,,18,4,6,19,7,6,0,1,0,0,0,55%,3,,1,,10,0,63%,8,,,0.536741214057508,0,185,114,29,0,98,3,crusaders-jaguares-ami-stadium-06072019
